No,time,src_ip,dst_ip,src_mac,dst_mac,protocol,src_port,dst_port,eth_type,flag,frame_len,Src_host_count,Src_ARP_count,Src_ICMP_count,Src_IGMP_count,Src_TCP_count,Src_UDP_count,diff_proto_rate,Diff_dest_port,TCP,UDP,ICMP,IGMP,ARP,label
7726,"Jun 14, 2022 20:37:36.164089000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,336,5,0,0,200,29,4,2,1,0,0,0,0,0
7727,"Jun 14, 2022 20:37:36.164105000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3533,1044,1150,1150,1339,0,3,15,1,0,0,0,0,0
7728,"Jun 14, 2022 20:37:36.497423000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,337,5,0,0,201,29,4,2,1,0,0,0,0,0
7729,"Jun 14, 2022 20:37:36.497439000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3534,1044,1150,1150,1340,0,3,15,1,0,0,0,0,0
7730,"Jun 14, 2022 20:37:36.830831000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,338,5,0,0,202,29,4,2,1,0,0,0,0,0
7731,"Jun 14, 2022 20:37:36.830874000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3535,1044,1150,1150,1341,0,3,15,1,0,0,0,0,0
7732,"Jun 14, 2022 20:37:37.164132000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,339,5,0,0,203,29,4,2,1,0,0,0,0,0
7733,"Jun 14, 2022 20:37:37.164149000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3536,1044,1150,1150,1342,0,3,15,1,0,0,0,0,0
7734,"Jun 14, 2022 20:37:37.497464000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,340,5,0,0,204,29,4,2,1,0,0,0,0,0
7735,"Jun 14, 2022 20:37:37.497480000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3537,1044,1150,1150,1343,0,3,15,1,0,0,0,0,0
7736,"Jun 14, 2022 20:37:37.830798000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,341,5,0,0,205,29,4,2,1,0,0,0,0,0
7737,"Jun 14, 2022 20:37:37.830832000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3538,1044,1150,1150,1344,0,3,15,1,0,0,0,0,0
7738,"Jun 14, 2022 20:37:38.164131000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,342,5,0,0,206,29,4,2,1,0,0,0,0,0
7739,"Jun 14, 2022 20:37:38.164146000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3539,1044,1150,1150,1345,0,3,15,1,0,0,0,0,0
7740,"Jun 14, 2022 20:37:38.497490000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,343,5,0,0,207,29,4,2,1,0,0,0,0,0
7741,"Jun 14, 2022 20:37:38.497539000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3540,1044,1150,1150,1346,0,3,15,1,0,0,0,0,0
7742,"Jun 14, 2022 20:37:38.830825000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,344,5,0,0,208,29,4,2,1,0,0,0,0,0
7743,"Jun 14, 2022 20:37:38.831211000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3541,1044,1150,1150,1347,0,3,15,1,0,0,0,0,0
7744,"Jun 14, 2022 20:37:39.164160000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,345,5,0,0,209,29,4,2,1,0,0,0,0,0
7745,"Jun 14, 2022 20:37:39.164172000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3542,1044,1150,1150,1348,0,3,15,1,0,0,0,0,0
7746,"Jun 14, 2022 20:37:39.497504000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,346,5,0,0,210,29,4,2,1,0,0,0,0,0
7747,"Jun 14, 2022 20:37:39.497538000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3543,1044,1150,1150,1349,0,3,15,1,0,0,0,0,0
7748,"Jun 14, 2022 20:37:39.830853000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,347,5,0,0,211,29,4,2,1,0,0,0,0,0
7749,"Jun 14, 2022 20:37:39.830885000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3544,1044,1150,1150,1350,0,3,15,1,0,0,0,0,0
7750,"Jun 14, 2022 20:37:40.164172000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,348,5,0,0,212,29,4,2,1,0,0,0,0,0
7751,"Jun 14, 2022 20:37:40.164187000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3545,1044,1150,1150,1351,0,3,15,1,0,0,0,0,0
7752,"Jun 14, 2022 20:37:40.497501000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,349,5,0,0,213,29,4,2,1,0,0,0,0,0
7753,"Jun 14, 2022 20:37:40.497516000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3546,1044,1150,1150,1352,0,3,15,1,0,0,0,0,0
